,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,proto_tcp,proto_udp,conn_state_OTH,conn_state_S0,conn_state_S1,conn_state_SF,label
117,0.101196,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
148,0.004995,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
149,0.005480,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
150,0.023740,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
151,0.006496,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
152,0.104438,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
153,0.011731,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
154,0.005493,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
155,0.006744,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
156,0.004232,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
157,0.100696,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
158,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
159,0.005251,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
160,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
161,0.015506,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
162,0.002246,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
163,0.103187,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
164,0.005246,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
165,0.007243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
166,0.005488,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
167,0.001997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
168,0.274839,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
169,0.031230,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
170,0.005231,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
171,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
172,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
147,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
173,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
146,0.100940,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
144,0.007242,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
119,0.005231,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
120,0.005479,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
121,0.016739,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
122,0.007988,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
123,0.100689,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
124,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
125,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
126,0.011243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
127,0.006996,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
128,0.001998,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
129,0.102691,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
130,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
131,0.004990,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
132,0.005245,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
133,0.066211,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
134,0.008252,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
135,0.105945,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
136,0.030967,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
137,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
138,0.005244,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
139,0.038476,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
140,0.005503,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
141,0.110432,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
142,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
143,0.012236,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
145,0.001996,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
174,0.100692,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
175,0.030997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
176,0.005242,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
207,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
208,0.100692,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
209,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
210,0.005486,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
211,0.007244,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
212,0.001982,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
213,0.005241,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
214,0.005490,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
215,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
216,0.014742,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
217,0.030732,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
218,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
219,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
220,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
221,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
222,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
223,0.005250,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
224,0.002746,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
225,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
226,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
228,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
229,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
230,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
231,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
233,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
206,0.002243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
205,0.008247,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
204,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
203,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
177,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
178,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
179,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
180,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
181,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
182,0.005489,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
183,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
184,0.002232,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
185,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
186,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
187,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
188,0.008491,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
118,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
189,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
191,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
192,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
193,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
194,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
195,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
196,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
197,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
198,0.005246,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
199,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
200,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
201,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
202,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
190,0.001996,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
234,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
235,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
115,0.007235,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
47,0.104188,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
48,0.089698,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
49,0.007988,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
50,0.092450,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
51,0.047472,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
52,0.185144,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
53,0.017984,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
54,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
55,0.007250,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
46,0.001997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
116,0.002489,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
58,0.111444,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
59,0.004995,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
60,0.005245,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
61,0.020984,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
62,0.031724,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
63,0.100691,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
64,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
65,0.037976,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
66,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
57,5.743725,872,1616,0.0,46.0,3264.0,25.0,1,0,0,0,0,1,0
67,0.006995,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
45,0.007243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
43,0.005243,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
12,0.007489,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
14,0.100693,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
17,0.005247,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
18,0.002245,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
19,0.010509,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
23,0.061956,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
25,0.100697,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
29,0.031973,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
31,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
44,180.296400,256,29096,0.0,214.0,11384.0,213.0,1,0,1,0,0,0,0
32,0.033738,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
34,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
35,0.126928,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
36,0.029232,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
37,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
38,0.006994,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
39,0.024989,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
40,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
41,0.156911,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
42,0.005500,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
33,0.024729,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
68,0.008247,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
56,0.002234,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
70,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
95,0.008985,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
96,0.005514,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
97,0.007743,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
98,0.001988,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
99,0.103191,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
100,0.030979,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
101,0.005247,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
102,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
103,0.024231,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
94,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
104,0.001998,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
106,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
107,0.012734,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
108,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
109,0.007495,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
110,0.005744,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
111,0.119688,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
112,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
113,0.005238,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
114,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
69,0.112925,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
93,0.115684,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
105,0.104188,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
91,0.013245,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
71,0.006742,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
73,0.007993,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
74,0.001998,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
75,0.102197,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
92,0.030490,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
76,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
77,0.005237,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
79,0.066962,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
80,0.033729,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
78,0.005484,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
82,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
90,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
89,0.004994,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
88,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
87,0.100693,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
86,0.001997,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
81,0.118189,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
85,0.007229,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
83,0.019237,48,48,0.0,1.0,76.0,1.0,0,1,0,0,0,1,0
84,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
72,0,0,0,0.0,1.0,76.0,0.0,0,1,0,1,0,0,0
6,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
5,3.132963,0,0,0.0,3.0,180.0,0.0,1,0,0,1,0,0,1
7,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
11,3.155701,0,0,0.0,3.0,180.0,0.0,1,0,0,1,0,0,1
2,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
232,6803.476778,639,627,0.0,337.0,18203.0,362.0,1,0,0,0,1,0,1
13,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
1,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
0,3.081233,0,0,0.0,3.0,180.0,0.0,1,0,0,1,0,0,1
16,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
22,3.139203,0,0,0.0,3.0,180.0,0.0,1,0,0,1,0,0,1
24,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
26,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
15,0,0,0,0.0,1.0,60.0,0.0,1,0,0,1,0,0,1
21,1.438680,148,121390,17376.0,92.0,5604.0,92.0,1,0,0,0,0,1,2
10,1.445668,149,125486,8688.0,88.0,5757.0,90.0,1,0,0,0,0,1,2
9,1.775238,149,164489,13032.0,111.0,6985.0,118.0,1,0,0,0,0,1,2
8,1.590348,149,141272,2896.0,102.0,6781.0,101.0,1,0,0,0,0,1,2
4,1.500886,152,129941,20272.0,83.0,4696.0,94.0,1,0,0,0,0,1,2
3,1.847943,149,171878,4344.0,102.0,6485.0,121.0,1,0,0,0,0,1,2
27,1.531888,149,139570,10136.0,100.0,6581.0,99.0,1,0,0,0,0,1,2
28,1.612322,147,152039,11584.0,103.0,6303.0,108.0,1,0,0,0,0,1,2
30,2.295936,150,149980,2896.0,108.0,7058.0,107.0,1,0,0,0,0,1,2
20,1.185313,149,137844,1448.0,99.0,6625.0,99.0,1,0,0,0,0,1,2
227,300.802367,1744830458,0,0.0,1305034.0,1781371410.0,0.0,0,1,0,1,0,0,3
